,Loss_B,Loss_F,Loss_I,Loss
0,7.695765972137451,195.153564453125,0.0,202.84933471679688
1,7.13974142074585,195.07168579101562,0.0,202.21142578125
2,6.606200695037842,194.989501953125,0.0,201.595703125
3,6.0957159996032715,194.9067840576172,0.0,201.00250244140625
4,5.6088175773620605,194.8231964111328,0.0,200.4320068359375
5,5.145700454711914,194.73873901367188,0.0,199.8844451904297
6,4.706343173980713,194.65350341796875,0.0,199.35984802246094
7,4.290643692016602,194.5677032470703,0.0,198.8583526611328
8,3.8984873294830322,194.48146057128906,0.0,198.37994384765625
9,3.529749631881714,194.3948974609375,0.0,197.92465209960938
10,3.1842849254608154,194.30810546875,0.0,197.4923858642578
11,2.861921548843384,194.22116088867188,0.0,197.0830841064453
12,2.56244158744812,194.1340789794922,0.0,196.69651794433594
13,2.2855758666992188,194.04693603515625,0.0,196.33251953125
14,2.030996799468994,193.9597625732422,0.0,195.99075317382812
15,1.7983129024505615,193.87258911132812,0.0,195.6708984375
16,1.5870614051818848,193.78546142578125,0.0,195.37252807617188
17,1.3967080116271973,193.69842529296875,0.0,195.0951385498047
18,1.2266448736190796,193.61151123046875,0.0,194.83815002441406
19,1.0761876106262207,193.5247802734375,0.0,194.60096740722656
20,0.944580078125,193.43824768066406,0.0,194.38282775878906
21,0.8309921622276306,193.35202026367188,0.0,194.18301391601562
22,0.7345234155654907,193.26609802246094,0.0,194.00062561035156
23,0.6542035341262817,193.1805419921875,0.0,193.83474731445312
24,0.5889993906021118,193.095458984375,0.0,193.68446350097656
25,0.5378195643424988,193.0108642578125,0.0,193.54869079589844
26,0.4995235204696655,192.92684936523438,0.0,193.42637634277344
27,0.47293147444725037,192.84344482421875,0.0,193.31637573242188
28,0.4568363428115845,192.7607421875,0.0,193.2175750732422
29,0.45001548528671265,192.67880249023438,0.0,193.12881469726562
30,0.45124581456184387,192.59768676757812,0.0,193.04893493652344
31,0.45931893587112427,192.51742553710938,0.0,192.97674560546875
32,0.47305575013160706,192.43809509277344,0.0,192.91114807128906
33,0.4913215637207031,192.35972595214844,0.0,192.85104370117188
34,0.5130399465560913,192.28240966796875,0.0,192.7954559326172
35,0.5372061729431152,192.2061004638672,0.0,192.74330139160156
36,0.5628982782363892,192.130859375,0.0,192.69375610351562
37,0.5892858505249023,192.05670166015625,0.0,192.64598083496094
38,0.615636944770813,191.983642578125,0.0,192.59927368164062
39,0.641322910785675,191.91162109375,0.0,192.55294799804688
40,0.6658188700675964,191.84066772460938,0.0,192.50648498535156
41,0.6887038946151733,191.77076721191406,0.0,192.45947265625
42,0.709657609462738,191.70181274414062,0.0,192.41146850585938
43,0.7284533381462097,191.63380432128906,0.0,192.3622589111328
44,0.7449533343315125,191.566650390625,0.0,192.3115997314453
45,0.7590986490249634,191.50027465820312,0.0,192.25936889648438
46,0.7709002494812012,191.43460083007812,0.0,192.20550537109375
47,0.7804282903671265,191.36952209472656,0.0,192.1499481201172
48,0.7878022193908691,191.30496215820312,0.0,192.09275817871094
49,0.7931812405586243,191.2407684326172,0.0,192.03395080566406
50,0.7967533469200134,191.17684936523438,0.0,191.97360229492188
51,0.7987262010574341,191.1130828857422,0.0,191.91180419921875
52,0.7993200421333313,191.04934692382812,0.0,191.84866333007812
53,0.7987589240074158,190.9854736328125,0.0,191.7842254638672
54,0.7972649931907654,190.92140197753906,0.0,191.7186737060547
55,0.7950535416603088,190.85690307617188,0.0,191.65196228027344
56,0.7923284769058228,190.7919158935547,0.0,191.58424377441406
57,0.7892787456512451,190.72628784179688,0.0,191.51556396484375
58,0.786077618598938,190.6598663330078,0.0,191.44593811035156
59,0.7828789949417114,190.592529296875,0.0,191.3754119873047
60,0.7798186540603638,190.52415466308594,0.0,191.30397033691406
61,0.7770140767097473,190.45462036132812,0.0,191.23162841796875
62,0.7745644450187683,190.3837890625,0.0,191.15835571289062
63,0.7725524306297302,190.3115234375,0.0,191.08407592773438
64,0.7710443139076233,190.23776245117188,0.0,191.00880432128906
65,0.7700932621955872,190.162353515625,0.0,190.9324493408203
66,0.7697390913963318,190.085205078125,0.0,190.85494995117188
67,0.7700119018554688,190.0062255859375,0.0,190.7762451171875
68,0.7709323763847351,189.92530822753906,0.0,190.6962432861328
69,0.7725138068199158,189.8423614501953,0.0,190.6148681640625
70,0.7747632265090942,189.75729370117188,0.0,190.5320587158203
71,0.7776840329170227,189.6700439453125,0.0,190.44772338867188
72,0.7812749743461609,189.58053588867188,0.0,190.36181640625
73,0.7855326533317566,189.48867797851562,0.0,190.2742156982422
74,0.7904519438743591,189.3944091796875,0.0,190.1848602294922
75,0.7960256934165955,189.29766845703125,0.0,190.09368896484375
76,0.8022465705871582,189.1983642578125,0.0,190.0006103515625
77,0.8091063499450684,189.0965118408203,0.0,189.90562438964844
78,0.816595733165741,188.99200439453125,0.0,189.80859375
79,0.8247051239013672,188.884765625,0.0,189.70947265625
80,0.8334249258041382,188.77479553222656,0.0,189.60821533203125
81,0.8427443504333496,188.66201782226562,0.0,189.5047607421875
82,0.852651834487915,188.54637145996094,0.0,189.39901733398438
83,0.863135039806366,188.42782592773438,0.0,189.29095458984375
84,0.8741806149482727,188.30633544921875,0.0,189.18051147460938
85,0.8857747912406921,188.1818389892578,0.0,189.06761169433594
86,0.8979021310806274,188.05429077148438,0.0,188.9521942138672
87,0.9105464220046997,187.92364501953125,0.0,188.83419799804688
88,0.9236902594566345,187.789794921875,0.0,188.71348571777344
89,0.9373154640197754,187.65274047851562,0.0,188.59005737304688
90,0.9514036774635315,187.51242065429688,0.0,188.4638214111328
